restaurant_id,DBA,BORO,CUISINE DESCRIPTION,Latitude,Longitude
50117521,Q & N INTERNATIONAL CUISINE,Manhattan,American,40.80485306,-73.93854989
50117524,LE PARIS DAKAR,Brooklyn,French,40.68023666,-73.94667634
50117525,TACOS GRAND CENTRAL,Manhattan,Mexican,40.74748745,-73.97392108
50117535,ALEX PIZZA & SLICE,Brooklyn,Pizza,40.65115435,-74.00400383
50117542,BOCCA RESTAURANT,Manhattan,Italian,40.73824556,-73.98939812
50117547,ORIGINAL JOE'S PIZZA,Bronx,Pizza,40.85604508,-73.85564402
50117552,SHAKALAKA BAKERY,Queens,Bakery Products/Desserts,40.76018443,-73.82759917
50117557,NEXT MOVE CAFE,Brooklyn,Coffee/Tea,40.60469622,-73.99937698
50117561,KNAPP STREET PIZZA,Brooklyn,Pizza,40.60016755,-73.93406485
50117564,LA PILITA DELI GROCERY,Manhattan,Mexican,40.864303,-73.91906195
50117567,MATSU NORI,Manhattan,Japanese,40.72075593,-73.9895849
50117580,FAT FOWL,Brooklyn,Caribbean,40.69082623,-73.98345225
50117581,MAESTRO PASTA,Manhattan,Italian,40.72933105,-74.0010319
50117590,LUCKY CHEN RESTAURANT,Brooklyn,Chinese,40.63566007,-73.91304955
50117593,MCDONALDS,Brooklyn,American,40.67954302,-73.8790946
50117595,MCDONALDS,Brooklyn,Hamburgers,40.67765957,-73.89832843
50117601,MCDONALDS,Brooklyn,American,40.67648347,-73.89090715
50117602,TAIM,Brooklyn,Mediterranean,40.66651003,-73.98187586
50117604,CHARLEYS PHILLY CHEESE STEAK&WINGS,Bronx,American,40.82367804,-73.83642005
50117605,HANA BY INDUSTRIOUS,Manhattan,American,40.71096789,-74.01235777
50117609,HOLYWATER,Manhattan,Seafood,40.71608996,-74.00874778
50117622,SUKIYA RAMEN & POKE,Queens,Chinese/Japanese,40.76951433,-73.78997421
50117634,JUNKO SUSHI,Queens,Japanese,40.76115039,-73.92366391
50117636,SKINOS MEDITERRANEAN CUISINE,Manhattan,Mediterranean,40.70913145,-74.01402023
50117652,5 OCLOCK SOMEWHERE,Manhattan,American,40.75484023,-73.98783258
50117654,LANDSHARK BAR & GRILL,Manhattan,American,40.75484023,-73.98783258
50117656,SAMI'S KABAB HOUSE,Queens,Middle Eastern,40.74459349,-73.95348872
50117657,COLETTA,Manhattan,Vegan,40.74100031,-73.98154878
50117661,Dalia's Harlem Cafe,Manhattan,Coffee/Tea,40.81831758,-73.94151083
50117665,MANDYS LASAGNA WITH A TWIST,Brooklyn,Italian,40.64501472,-73.92967456
50117669,"EARLY EDITION RESTAURANT, THE PRESS CLUB GRILL, EARLY EDITION COFFEE",Manhattan,New American,40.74839282,-73.98814414
50117684,NEW GT RICEBOWL,Queens,Caribbean,40.68567337,-73.82844158
50117691,LA ESQUINITA DEL SAZON JUICE BAR,Bronx,Latin American,40.84759006,-73.90778346
50117694,HOJOKBAN,Manhattan,Korean,40.74564214,-73.98451043
50117697,SWEET WONTON HOUSE,Queens,Chinese,40.77090266,-73.73530585
50117698,THE MOLLY PITCHER CLUB,Manhattan,American,40.76135105,-73.99050985
50117704,XI'AN FAMOUS FOODS,Manhattan,Chinese,40.71514606,-73.99716828
50117705,DESI BITES CAFE,Queens,Indian,40.68927717,-73.82837818
50117709,CHUN YANG TEA,Queens,Coffee/Tea,40.74325972,-73.95393354
50117716,STIX KOSHER RESTAURANT,Queens,Middle Eastern,40.72655375,-73.85185949
50117719,GELATERIA GENTILE,Manhattan,Frozen Desserts,40.72307283,-73.99401841
50117720,TAP NYC,Manhattan,Brazilian,40.75161005,-73.9738184
50117744,AREPA LADY,Queens,Latin American,40.75898745,-73.92778503
50117747,SANT AMBROEUS GELATERIA,Manhattan,Frozen Desserts,40.72356425,-73.99655822
50117756,Bar 47,Bronx,American,40.80661113,-73.92693847
50117761,MOMO TEST KITCHEN,Brooklyn,Japanese,40.64605209,-74.02409682
50117770,LENWICH,Manhattan,Sandwiches/Salads/Mixed Buffet,40.75705097,-73.97759546
50117772,PAPA JOHN'S,Bronx,Pizza,40.8143186,-73.91907962
50117773,PAPA JOHN'S,Bronx,Pizza,40.87169059,-73.87738072
50117774,AHIMSA,Manhattan,Indian,40.74812195,-73.97602853
50117775,POKE BOWL,Manhattan,Hawaiian,40.71282098,-74.00829646
50117776,SEEYAMAÑANA,Manhattan,Tapas,40.74490439,-73.9897399
50117777,SANDWICH AND PICKLE,Staten Island,American,40.60040272,-74.16292639
50117786,KENNEDY FRIED CHICKEN,Bronx,Chicken,40.8273687,-73.91745212
50117805,SMITH STREET BAGELS,Brooklyn,American,40.68471452,-73.99183686
50117809,MING WONG RESTAURANT,Manhattan,Chinese,40.71596128,-73.99829734
50117810,TACO BELL,Bronx,Mexican,40.82617735,-73.86051479
50117814,TACO BELL,Queens,Mexican,40.75380539,-73.90195469
50117817,TACO BELL,Queens,Mexican,40.68902741,-73.84577354
50117818,PICK A BAGEL,Manhattan,Bagels/Pretzels,40.76425987,-73.98467575
50117824,BLUE STAR PARLOR,Brooklyn,Coffee/Tea,40.63972884,-73.96770462
50117827,LUCY'S VIETNAMESE,Brooklyn,Asian/Asian Fusion,40.68566366,-73.95435929
50117828,THE MALLARD DRAKE,Brooklyn,American,40.72679516,-73.95725343
50117829,COMMONS CAFE,Manhattan,American,40.81773514,-73.95929025
50117830,TACO BELL,Bronx,Mexican,40.88275956,-73.82412296
